record_id,category,condition,question,answer,common_symptoms,possible_cause_or_context,general_supportive_care,when_to_seek_medical_care,source_type,medical_safety_note
362,Urinary,Urinary Tract Infection,I want basic information: When should I see a doctor for Urinary Tract Infection?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Seek prompt care for fever, flank/back pain, vomiting, pregnancy, or worsening symptoms.","burning urination, frequent urination, urgency, lower abdominal discomfort",Usually bacterial infection of the urinary tract,Medical testing and clinician-directed treatment may be needed,"Seek prompt care for fever, flank/back pain, vomiting, pregnancy, or worsening symptoms",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
363,Urinary,Urinary Tract Infection,"For a health-awareness project, Is Urinary Tract Infection always serious?","Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","burning urination, frequent urination, urgency, lower abdominal discomfort",Usually bacterial infection of the urinary tract,Medical testing and clinician-directed treatment may be needed,"Seek prompt care for fever, flank/back pain, vomiting, pregnancy, or worsening symptoms",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
364,Urinary,Urinary Tract Infection,What should I know about this? Can Urinary Tract Infection be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Medical testing and clinician-directed treatment may be needed and addressing known risk factors.","burning urination, frequent urination, urgency, lower abdominal discomfort",Usually bacterial infection of the urinary tract,Medical testing and clinician-directed treatment may be needed,"Seek prompt care for fever, flank/back pain, vomiting, pregnancy, or worsening symptoms",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
365,Urinary,Urinary Tract Infection,Please explain: What lifestyle habits may help with Urinary Tract Infection?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","burning urination, frequent urination, urgency, lower abdominal discomfort",Usually bacterial infection of the urinary tract,Medical testing and clinician-directed treatment may be needed,"Seek prompt care for fever, flank/back pain, vomiting, pregnancy, or worsening symptoms",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
366,Blood,Iron Deficiency Anemia,Can you explain this simply? What are the common symptoms of Iron Deficiency Anemia?,"Common symptoms can include fatigue, weakness, pale skin, dizziness, shortness of breath on exertion. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","fatigue, weakness, pale skin, dizziness, shortness of breath on exertion",Insufficient iron leading to reduced hemoglobin production,Medical evaluation should identify the cause; iron treatment should follow professional advice,"Seek urgent care for fainting, severe breathlessness, chest pain, or rapid worsening",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
367,Blood,Iron Deficiency Anemia,I want basic information: What can cause Iron Deficiency Anemia?,A common underlying explanation is Insufficient iron leading to reduced hemoglobin production. A healthcare professional can assess the individual situation and rule out other causes.,"fatigue, weakness, pale skin, dizziness, shortness of breath on exertion",Insufficient iron leading to reduced hemoglobin production,Medical evaluation should identify the cause; iron treatment should follow professional advice,"Seek urgent care for fainting, severe breathlessness, chest pain, or rapid worsening",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
368,Blood,Iron Deficiency Anemia,"For a health-awareness project, What should I do if I think I have Iron Deficiency Anemia?","Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Medical evaluation should identify the cause; iron treatment should follow professional advice.","fatigue, weakness, pale skin, dizziness, shortness of breath on exertion",Insufficient iron leading to reduced hemoglobin production,Medical evaluation should identify the cause; iron treatment should follow professional advice,"Seek urgent care for fainting, severe breathlessness, chest pain, or rapid worsening",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
369,Blood,Iron Deficiency Anemia,What should I know about this? How can I reduce the risk of Iron Deficiency Anemia?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","fatigue, weakness, pale skin, dizziness, shortness of breath on exertion",Insufficient iron leading to reduced hemoglobin production,Medical evaluation should identify the cause; iron treatment should follow professional advice,"Seek urgent care for fainting, severe breathlessness, chest pain, or rapid worsening",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
370,Blood,Iron Deficiency Anemia,Please explain: When should I see a doctor for Iron Deficiency Anemia?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Seek urgent care for fainting, severe breathlessness, chest pain, or rapid worsening.","fatigue, weakness, pale skin, dizziness, shortness of breath on exertion",Insufficient iron leading to reduced hemoglobin production,Medical evaluation should identify the cause; iron treatment should follow professional advice,"Seek urgent care for fainting, severe breathlessness, chest pain, or rapid worsening",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
371,Blood,Iron Deficiency Anemia,Can you explain this simply? Is Iron Deficiency Anemia always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","fatigue, weakness, pale skin, dizziness, shortness of breath on exertion",Insufficient iron leading to reduced hemoglobin production,Medical evaluation should identify the cause; iron treatment should follow professional advice,"Seek urgent care for fainting, severe breathlessness, chest pain, or rapid worsening",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
372,Blood,Iron Deficiency Anemia,I want basic information: Can Iron Deficiency Anemia be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Medical evaluation should identify the cause; iron treatment should follow professional advice and addressing known risk factors.","fatigue, weakness, pale skin, dizziness, shortness of breath on exertion",Insufficient iron leading to reduced hemoglobin production,Medical evaluation should identify the cause; iron treatment should follow professional advice,"Seek urgent care for fainting, severe breathlessness, chest pain, or rapid worsening",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
373,Blood,Iron Deficiency Anemia,"For a health-awareness project, What lifestyle habits may help with Iron Deficiency Anemia?","Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","fatigue, weakness, pale skin, dizziness, shortness of breath on exertion",Insufficient iron leading to reduced hemoglobin production,Medical evaluation should identify the cause; iron treatment should follow professional advice,"Seek urgent care for fainting, severe breathlessness, chest pain, or rapid worsening",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
374,Endocrine,Hypothyroidism,What should I know about this? What are the common symptoms of Hypothyroidism?,"Common symptoms can include fatigue, feeling cold, dry skin, constipation, weight changes. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","fatigue, feeling cold, dry skin, constipation, weight changes",Low thyroid hormone activity,Blood testing and clinician-directed treatment are used,"Seek urgent care for severe drowsiness, confusion, breathing difficulty, or very low body temperature",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
375,Endocrine,Hypothyroidism,Please explain: What can cause Hypothyroidism?,A common underlying explanation is Low thyroid hormone activity. A healthcare professional can assess the individual situation and rule out other causes.,"fatigue, feeling cold, dry skin, constipation, weight changes",Low thyroid hormone activity,Blood testing and clinician-directed treatment are used,"Seek urgent care for severe drowsiness, confusion, breathing difficulty, or very low body temperature",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
376,Endocrine,Hypothyroidism,Can you explain this simply? What should I do if I think I have Hypothyroidism?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Blood testing and clinician-directed treatment are used.","fatigue, feeling cold, dry skin, constipation, weight changes",Low thyroid hormone activity,Blood testing and clinician-directed treatment are used,"Seek urgent care for severe drowsiness, confusion, breathing difficulty, or very low body temperature",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
377,Endocrine,Hypothyroidism,I want basic information: How can I reduce the risk of Hypothyroidism?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","fatigue, feeling cold, dry skin, constipation, weight changes",Low thyroid hormone activity,Blood testing and clinician-directed treatment are used,"Seek urgent care for severe drowsiness, confusion, breathing difficulty, or very low body temperature",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
378,Endocrine,Hypothyroidism,"For a health-awareness project, When should I see a doctor for Hypothyroidism?","Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Seek urgent care for severe drowsiness, confusion, breathing difficulty, or very low body temperature.","fatigue, feeling cold, dry skin, constipation, weight changes",Low thyroid hormone activity,Blood testing and clinician-directed treatment are used,"Seek urgent care for severe drowsiness, confusion, breathing difficulty, or very low body temperature",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
379,Endocrine,Hypothyroidism,What should I know about this? Is Hypothyroidism always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","fatigue, feeling cold, dry skin, constipation, weight changes",Low thyroid hormone activity,Blood testing and clinician-directed treatment are used,"Seek urgent care for severe drowsiness, confusion, breathing difficulty, or very low body temperature",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
380,Endocrine,Hypothyroidism,Please explain: Can Hypothyroidism be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Blood testing and clinician-directed treatment are used and addressing known risk factors.","fatigue, feeling cold, dry skin, constipation, weight changes",Low thyroid hormone activity,Blood testing and clinician-directed treatment are used,"Seek urgent care for severe drowsiness, confusion, breathing difficulty, or very low body temperature",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
381,Endocrine,Hypothyroidism,Can you explain this simply? What lifestyle habits may help with Hypothyroidism?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","fatigue, feeling cold, dry skin, constipation, weight changes",Low thyroid hormone activity,Blood testing and clinician-directed treatment are used,"Seek urgent care for severe drowsiness, confusion, breathing difficulty, or very low body temperature",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
382,Eye,Conjunctivitis,I want basic information: What are the common symptoms of Conjunctivitis?,"Common symptoms can include red eye, discharge, irritation, watery eyes. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
383,Eye,Conjunctivitis,"For a health-awareness project, What can cause Conjunctivitis?",A common underlying explanation is Inflammation/infection of the conjunctiva. A healthcare professional can assess the individual situation and rule out other causes.,"red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
384,Eye,Conjunctivitis,What should I know about this? What should I do if I think I have Conjunctivitis?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Hand hygiene and avoiding eye rubbing help; evaluation may be needed.","red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
385,Eye,Conjunctivitis,Please explain: How can I reduce the risk of Conjunctivitis?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
386,Eye,Conjunctivitis,Can you explain this simply? When should I see a doctor for Conjunctivitis?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury.","red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
387,Eye,Conjunctivitis,I want basic information: Is Conjunctivitis always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
388,Eye,Conjunctivitis,"For a health-awareness project, Can Conjunctivitis be prevented?","Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Hand hygiene and avoiding eye rubbing help; evaluation may be needed and addressing known risk factors.","red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
389,Eye,Conjunctivitis,What should I know about this? What lifestyle habits may help with Conjunctivitis?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","red eye, discharge, irritation, watery eyes",Inflammation/infection of the conjunctiva,Hand hygiene and avoiding eye rubbing help; evaluation may be needed,"Seek urgent care for severe eye pain, vision changes, light sensitivity, or eye injury",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
390,Skin,Dermatitis,Please explain: What are the common symptoms of Dermatitis?,"Common symptoms can include itchy, dry, red, irritated skin. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
391,Skin,Dermatitis,Can you explain this simply? What can cause Dermatitis?,"A common underlying explanation is Skin inflammation from irritants, allergens, or other causes. A healthcare professional can assess the individual situation and rule out other causes.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
392,Skin,Dermatitis,I want basic information: What should I do if I think I have Dermatitis?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Avoid suspected irritants and use gentle skin care.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
393,Skin,Dermatitis,"For a health-awareness project, How can I reduce the risk of Dermatitis?","Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
394,Skin,Dermatitis,What should I know about this? When should I see a doctor for Dermatitis?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Seek care for rapidly spreading redness, severe pain, fever, or facial swelling.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
395,Skin,Dermatitis,Please explain: Is Dermatitis always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
396,Skin,Dermatitis,Can you explain this simply? Can Dermatitis be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Avoid suspected irritants and use gentle skin care and addressing known risk factors.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
397,Skin,Dermatitis,I want basic information: What lifestyle habits may help with Dermatitis?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","itchy, dry, red, irritated skin","Skin inflammation from irritants, allergens, or other causes",Avoid suspected irritants and use gentle skin care,"Seek care for rapidly spreading redness, severe pain, fever, or facial swelling",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
398,Mental Health,Depression,"For a health-awareness project, What are the common symptoms of Depression?","Common symptoms can include persistent low mood, loss of interest, sleep/appetite changes, low energy. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
399,Mental Health,Depression,What should I know about this? What can cause Depression?,A common underlying explanation is Mental health condition involving persistent mood symptoms. A healthcare professional can assess the individual situation and rule out other causes.,"persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
400,Mental Health,Depression,Please explain: What should I do if I think I have Depression?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Professional assessment, supportive routines, therapy, and treatment when appropriate.","persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
401,Mental Health,Depression,Can you explain this simply? How can I reduce the risk of Depression?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
402,Mental Health,Depression,I want basic information: When should I see a doctor for Depression?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately.","persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
403,Mental Health,Depression,"For a health-awareness project, Is Depression always serious?","Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
404,Mental Health,Depression,What should I know about this? Can Depression be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Professional assessment, supportive routines, therapy, and treatment when appropriate and addressing known risk factors.","persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
405,Mental Health,Depression,Please explain: What lifestyle habits may help with Depression?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","persistent low mood, loss of interest, sleep/appetite changes, low energy",Mental health condition involving persistent mood symptoms,"Professional assessment, supportive routines, therapy, and treatment when appropriate","If there is immediate danger or thoughts of self-harm, seek emergency professional help immediately",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
406,Respiratory,Common Cold,Can you explain this simply? I have cough. Could it be related to Common Cold?,"Cough can occur with Common Cold, but it is not specific to it. Other symptoms may include runny nose, sneezing, sore throat. A symptom alone cannot confirm a diagnosis.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
407,Respiratory,Common Cold,I want basic information: I have runny nose. Could it be related to Common Cold?,"Runny nose can occur with Common Cold, but it is not specific to it. Other symptoms may include cough, sneezing, sore throat. A symptom alone cannot confirm a diagnosis.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
408,Respiratory,Common Cold,"For a health-awareness project, I have sneezing. Could it be related to Common Cold?","Sneezing can occur with Common Cold, but it is not specific to it. Other symptoms may include cough, runny nose, sore throat. A symptom alone cannot confirm a diagnosis.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
409,Respiratory,Common Cold,What should I know about this? I have sore throat. Could it be related to Common Cold?,"Sore throat can occur with Common Cold, but it is not specific to it. Other symptoms may include cough, runny nose, sneezing. A symptom alone cannot confirm a diagnosis.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
410,Respiratory,Influenza,Please explain: I have fever. Could it be related to Influenza?,"Fever can occur with Influenza, but it is not specific to it. Other symptoms may include chills, cough, body aches, fatigue. A symptom alone cannot confirm a diagnosis.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
411,Respiratory,Influenza,Can you explain this simply? I have chills. Could it be related to Influenza?,"Chills can occur with Influenza, but it is not specific to it. Other symptoms may include fever, cough, body aches, fatigue. A symptom alone cannot confirm a diagnosis.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
412,Respiratory,Influenza,I want basic information: I have cough. Could it be related to Influenza?,"Cough can occur with Influenza, but it is not specific to it. Other symptoms may include fever, chills, body aches, fatigue. A symptom alone cannot confirm a diagnosis.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
413,Respiratory,Influenza,"For a health-awareness project, I have body aches. Could it be related to Influenza?","Body aches can occur with Influenza, but it is not specific to it. Other symptoms may include fever, chills, cough, fatigue. A symptom alone cannot confirm a diagnosis.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
414,Respiratory,Influenza,What should I know about this? I have fatigue. Could it be related to Influenza?,"Fatigue can occur with Influenza, but it is not specific to it. Other symptoms may include fever, chills, cough, body aches. A symptom alone cannot confirm a diagnosis.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
415,Infectious,Dengue,Please explain: I have fever. Could it be related to Dengue?,"Fever can occur with Dengue, but it is not specific to it. Other symptoms may include headache, body aches, nausea, rash. A symptom alone cannot confirm a diagnosis.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
416,Infectious,Dengue,Can you explain this simply? I have headache. Could it be related to Dengue?,"Headache can occur with Dengue, but it is not specific to it. Other symptoms may include fever, body aches, nausea, rash. A symptom alone cannot confirm a diagnosis.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
417,Infectious,Dengue,I want basic information: I have body aches. Could it be related to Dengue?,"Body aches can occur with Dengue, but it is not specific to it. Other symptoms may include fever, headache, nausea, rash. A symptom alone cannot confirm a diagnosis.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
418,Infectious,Dengue,"For a health-awareness project, I have nausea. Could it be related to Dengue?","Nausea can occur with Dengue, but it is not specific to it. Other symptoms may include fever, headache, body aches, rash. A symptom alone cannot confirm a diagnosis.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
419,Infectious,Dengue,What should I know about this? I have rash. Could it be related to Dengue?,"Rash can occur with Dengue, but it is not specific to it. Other symptoms may include fever, headache, body aches, nausea. A symptom alone cannot confirm a diagnosis.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational paraphrase,Educational information only; not a diagnosis or a substitute for professional medical care.
